pdb,description,method,datapath,github,protein,virus,hasRerefinement,Molprobity_score
6xez,"EM structure of SARS-CoV-2 replication transcription complex bound to nsp13 helicase-RTC together with product and template RNA. Hetero octamer, RNA polymerase with one chain, NSP8 and helicase with two chains each and NSP7 and RNAs with one chain each. Structure suggests that the nsp13 helicase could act in the 5' > 3' direction on the tRNA to disrupt stable RNA.",ELECTRON MICROSCOPY,pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xez,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/helicase-nsp7-nsp8-rna_polymerase/SARS-CoV-2/6xez,helicase-nsp7-nsp8-rna_polymerase,SARS-CoV-2,0,0.0
6acg,"Trypsin-cleaved and low pH-treated SARS-CoV spike glycoprotein and ACE2 complex, ACE2-bound conformation 1.  Part of a series of studies on the conformational landscape of spike in complex with ACE2",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/6acg,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6acg,surface_glycoprotein,SARS-CoV,0,2.0
6acj,"Trypsin-cleaved and low pH-treated SARS-CoV spike glycoprotein and ACE2 complex, ACE2-bound conformation 2.  Part of a series of studies on the conformational landscape of spike in complex with ACE2",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/6acj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6acj,surface_glycoprotein,SARS-CoV,0,2.0
6ack,"Trypsin-cleaved and low pH-treated SARS-CoV spike glycoprotein and ACE2 complex, ACE2-bound conformation 3.  Part of a series of studies on the conformational landscape of spike in complex with ACE2",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/6ack,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6ack,surface_glycoprotein,SARS-CoV,0,3.0
6cs2,"SARS Spike Glycoprotein - human ACE2 complex, Stabilized variant, all ACE2-bound particles. This study reveal that stabilized spikes resist conformational changes induced by receptor.",ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV/6cs2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV/6cs2,surface_glycoprotein,SARS-CoV,0,0.0
6m17,Receptor binding domain in complex with full lenght ACE2 and amino acid transporter B0AT1. Study highlight the entry mechanism of SARS-CoV-2 in cells.,ELECTRON MICROSCOPY,pdb/surface_glycoprotein/SARS-CoV-2/6m17,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb/surface_glycoprotein/SARS-CoV-2/6m17,surface_glycoprotein,SARS-CoV-2,1,0.0
6m18,Receptor binding domain in complex with full lenght ACE2 and amino acid transporter B0AT1. Study highlight the entry mechanism of SARS-CoV-2 in cells.,ELECTRON MICROSCOPY,../pdb\human_interaction_partners\ACE2\6m18,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6m18,..,pdb\human_interaction_partners\ACE2,0,0.0
6m1d,Receptor binding domain in complex with full lenght ACE2 and amino acid transporter B0AT1. Study highlight the entry mechanism of SARS-CoV-2 in cells.,ELECTRON MICROSCOPY,../pdb\human_interaction_partners\ACE2\6m1d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6m1d,..,pdb\human_interaction_partners\ACE2,0,0.0
6agf,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6agf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6agf,..,pdb\human_interaction_partners\TCP2,0,2.59
6du8,"Chimeric receptor-binding domain where the binding site contains a loop and core domain from SARS and RBD SARS-CoV2, complexed with its receptor human ACE2.",ELECTRON MICROSCOPY,../pdb\human_interaction_partners\TCP2\6du8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6du8,..,pdb\human_interaction_partners\TCP2,0,2.59
